,id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup
105,7063,Bernard,27,1267,3,1.6975654624402523,2,2.303722243756056,12,24,2,0,M S,Everton,3,1.6975654624402523,6.573716748505831,3.0494456132873893
106,7699,Adam Webster,31,2668,3,1.5777928959578276,1,1.0943768145516515,16,10,4,0,D,Brighton,3,1.5777928959578276,6.390762180089951,6.152603227645159
107,7712,Billy Sharp,25,1045,3,4.138954329304397,2,3.010327694937587,16,15,1,1,F S,Sheffield United,3,4.138954329304397,5.812581459991634,1.037148229777813
108,7721,Conor Hourihane,27,1549,3,1.628339322283864,5,5.731440916657448,29,38,4,0,M S,Aston Villa,3,1.628339322283864,6.007942508906126,3.1574677284806967
109,7723,John McGinn,28,2323,3,3.982573007233441,3,2.6177591122686863,55,37,3,0,M S,Aston Villa,3,3.982573007233441,9.970860671252012,5.289585173130035
110,7752,Gabriel Martinelli,14,643,3,2.2424834556877613,0,0.11354188434779644,12,2,1,0,M S,Arsenal,3,2.2424834556877613,2.9959330298006535,0.639907656237483
111,7991,Aaron Connolly,24,1279,3,4.553525606170297,1,0.5620171576738358,36,6,0,0,F S,Brighton,3,4.553525606170297,4.356782121583819,0.35419941134750843
112,8288,Tomas Soucek,13,1042,3,2.4183740243315697,0,0.3432552432641387,20,5,0,0,M S,West Ham,3,2.4183740243315697,3.873195863328874,2.18582923989743
113,8300,Steven Bergwijn,14,698,3,1.1783158108592033,1,1.1285143066197634,9,13,2,0,F M S,Tottenham,3,1.1783158108592033,2.955224387347698,1.4037167243659496
114,76,Fabian Schär,22,1675,2,1.0595882823690772,0,0.1013798899948597,20,4,5,0,D M S,Newcastle United,2,1.0595882823690772,2.578661961480975,1.8653056677430868
115,87,Joelinton,38,2722,2,6.031041044741869,2,3.101166108623147,50,29,7,0,F M S,Newcastle United,2,6.031041044741869,12.042083878070116,4.822176840156317
116,239,Pascal Groß,29,1812,2,1.456096992827952,4,5.954704690724611,29,59,4,0,F M S,Brighton,2,1.456096992827952,8.312001302838326,6.019404185935855
117,314,Ilkay Gündogan,31,2006,2,4.346703093498945,1,2.919196378439665,32,34,7,0,M S,Manchester City,1,2.824402241036296,19.261574666947126,15.24622955173254
118,371,Sokratis,19,1698,2,1.450504781678319,0,0.7529756426811218,7,2,6,0,D,Arsenal,2,1.450504781678319,4.342151601798832,4.342151601798832
